source,dblp_source,Full paper
CHI,CHI,yes
CHI,CHI Extended Abstracts,no
CHI,CHI Conference Companion,no
CHI,CHI 95 Conference Companion,no
CHI,CHI (2),yes
CHI,CHI (1),yes
TVCG,IEEE Trans. Vis. Comput. Graph.,yes
VIS,IEEE Visualization,yes
VIS,IEEE VIS (Short Papers),no
VIS,IEEE VIS,yes
EuroVis,EuroVis (Short Papers),no
EuroVis,EuroVis,yes
EuroVis,EuroVis (STARs),yes
EuroVis,EuroVAST@EuroVis,no
PacificVis,PacificVis,yes
IUI,IUI,yes
IUI,IUI Companion,no
AVI,AVI,yes
AVI,Advanced Visual Interfaces,yes
SIGGRAPH,SIGGRAPH,yes
CGF,Comput. Graph. Forum,yes
CSCW,CSCW,yes
CSCW,CSCW Companion,no
CSCW,CSCW (Companion),no
DIS,Conference on Designing Interactive Systems,yes
DIS,Conference on Designing Interactive Systems (Companion Volume),no
DIS,DIS,yes
DIS,Symposium on Designing Interactive Systems,yes
DIS,onference on Designing Interactive Systems (Companion Volume),no
CGA,IEEE Computer Graphics and Applications,yes
UIST,UIST,yes
UIST,UIST (Adjunct Volume),no
UIST,ACM Symposium on User Interface Software and Technology,yes
UIST,UIST Adjunct,no
VAST,IEEE VAST,yes
VAST,VAST,yes
VAST,VAST (Short and Project Papers),no
VAST,IEEE VAST@IEEE VIS,yes
BELIV,BELIV,yes
BioVis,BioVis,yes
IVAPP,IVAPP,yes
ICDM,ICDM,yes
Information Vis.,Inf. Vis.,yes
SIBGRAPI,SIBGRAPI,yes
UbiComp,UbiComp,yes
Supercomputing,International Conference on Supercomputing,yes
Supercomputing,ICS,yes
Graphics Interface,Graphics Interface,yes
SIGGRAPH Asia,SIGGRAPH Asia,yes
Diagrams,Diagrams,yes
Interact,INTERACT,yes
Interact,INTERACT (4),yes
Interact,INTERACT (2),yes
Interact,INTERACT (1),yes
Interact,INTERACT (3),yes
Interact,INTERACT (5),yes
VCBM,VCBM,yes
KDD,KDD,yes
KDD,KDD (2),yes
KDD,KDD (1),yes
The Visual Computer,Vis. Comput.,yes
VMV,VMV,yes
IV,IV,yes
IV,IV (1),yes
IV,IV (2),yes
Journal of Vis.,J. Vis.,yes
SIGMOD,SIGMOD Conference,yes
BCS HCI,BCS HCI,yes
BCS HCI,BCS HCI (2),yes
BCS HCI,BCS HCI (1),yes
TOCHI,ACM Trans. Comput. Hum. Interact.,yes
Cognitive Science,Cogn. Sci.,yes
InfoVis,INFOVIS,yes
SciVis,SciVis,yes
PACMHCI,Proc. ACM Hum. Comput. Interact.,yes
